# BUSCO version is: 5.2.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
8874at7742	Complete	NC_047144.1	22643570	22675579	+	2072.3	1697	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	NC_047138.1	22175117	22210006	+	1787.3	1755	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	NC_047140.1	29489366	29511323	-	2631.3	1583	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	NC_047138.1	17923875	17972323	+	3526.9	2018	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	NC_047145.1	16227573	16235195	+	1471.1	1848	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	NC_047138.1	6821406	6833225	-	3114.0	1827	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	NC_047131.1	26977185	26987878	+	3037.6	1738	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	NC_047133.1	21767009	21787438	+	3201.7	1803	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	NC_047141.1	20305117	20418855	-	1372.3	1025	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	NC_047148.1	21253582	21265505	-	1677.3	1267	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	NC_047129.1	7685825	7705185	-	1838.3	1597	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	NC_047132.1	22169993	22278202	-	2490.3	1535	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	NC_047144.1	21413526	21442846	-	1882.5	1409	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	NC_047143.1	6924875	6979864	-	3072.6	1547	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	NC_047146.1	5763527	5850845	+	2761.1	1629	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	NC_047138.1	13369297	13384663	+	3090.5	1626	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	NC_047147.1	27795580	27816563	-	2546.3	1334	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	NC_047126.1	11214746	11234786	-	2506.6	1441	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	NC_047141.1	17300705	17322873	-	1683.8	1446	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	NC_047149.1	1976122	2053238	-	2406.3	1557	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	NC_047134.1	8902236	8972531	-	2345.6	1879	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Complete	NC_047146.1	11992519	12009243	-	2472.7	1394	https://www.orthodb.org/v10?query=12004at7742	E3 ubiquitin-protein ligase UBR3
12300at7742	Complete	NC_047145.1	15879433	15889354	-	1397.5	1205	https://www.orthodb.org/v10?query=12300at7742	deleted in lung and esophageal cancer protein 1
12491at7742	Complete	NC_047126.1	9098893	9123780	-	2401.7	1388	https://www.orthodb.org/v10?query=12491at7742	Helicase with zinc finger
12613at7742	Complete	NC_047146.1	6985584	7031462	+	2835.6	1431	https://www.orthodb.org/v10?query=12613at7742	sodium leak channel non-selective protein
12616at7742	Complete	NC_047144.1	9045714	9060743	+	2496.4	1569	https://www.orthodb.org/v10?query=12616at7742	nebulin-related-anchoring protein
12659at7742	Fragmented	NC_047140.1	15941743	15955508	-	1326.8	697	https://www.orthodb.org/v10?query=12659at7742	B-TFIID TATA-box binding protein associated factor 1
13296at7742	Complete	NC_047139.1	29579070	29587782	+	1854.8	1410	https://www.orthodb.org/v10?query=13296at7742	E3 ubiquitin-protein ligase listerin
13480at7742	Complete	NC_047146.1	26979607	26995056	+	975.0	1008	https://www.orthodb.org/v10?query=13480at7742	Cilia and flagella associated protein 65
13670at7742	Complete	NC_047148.1	19866446	19875139	+	2419.1	1435	https://www.orthodb.org/v10?query=13670at7742	nucleoporin NUP188 homolog
13881at7742	Complete	NC_047135.1	16988097	17043285	-	2449.7	1390	https://www.orthodb.org/v10?query=13881at7742	DNA-directed RNA polymerase I subunit RPA1
13963at7742	Complete	NC_047147.1	16614187	16646308	-	1555.5	1178	https://www.orthodb.org/v10?query=13963at7742	Fanconi anemia group M protein
13987at7742	Missing
14102at7742	Complete	NC_047149.1	11356890	11373439	+	1894.2	1581	https://www.orthodb.org/v10?query=14102at7742	Laminin subunit alpha 4
14442at7742	Complete	NC_047140.1	10757337	10816971	+	2728.3	1508	https://www.orthodb.org/v10?query=14442at7742	Golgi brefeldin A resistant guanine nucleotide exchange factor 1
14788at7742	Complete	NC_047144.1	23852474	23874700	+	1778.9	1336	https://www.orthodb.org/v10?query=14788at7742	ATP-binding cassette sub-family A member 5
15083at7742	Complete	NC_047142.1	16227928	16248438	+	1338.7	1384	https://www.orthodb.org/v10?query=15083at7742	Ankyrin repeat domain 12
15257at7742	Complete	NC_047140.1	24429973	24455063	-	1615.5	1958	https://www.orthodb.org/v10?query=15257at7742	golgin A4 
15408at7742	Complete	NC_047126.1	3989413	3999779	-	2838.5	1636	https://www.orthodb.org/v10?query=15408at7742	proteasome-associated protein ECM29 homolog
15604at7742	Complete	NC_047139.1	27477841	27488063	+	3132.8	1643	https://www.orthodb.org/v10?query=15604at7742	Transcription initiation factor TFIID subunit
15611at7742	Complete	NC_047128.1	15544325	15563538	-	1099.6	1466	https://www.orthodb.org/v10?query=15611at7742	tumor suppressor p53-binding protein 1
15711at7742	Fragmented	NC_047148.1	23026351	23030861	+	1016.6	843	https://www.orthodb.org/v10?query=15711at7742	uncharacterized protein KIAA2026 homolog
16061at7742	Complete	NC_047140.1	312069	336310	-	2666.9	1326	https://www.orthodb.org/v10?query=16061at7742	Zinc finger SWIM-type containing 8
16096at7742	Complete	NC_047133.1	3130659	3144024	-	673.8	652	https://www.orthodb.org/v10?query=16096at7742	MHC class II transactivator
16236at7742	Complete	NC_047126.1	6998752	7037519	-	1738.2	1363	https://www.orthodb.org/v10?query=16236at7742	general transcription factor 3C polypeptide 1
16347at7742	Complete	NC_047146.1	1672349	1711676	-	1403.4	1113	https://www.orthodb.org/v10?query=16347at7742	Minichromosome maintenance complex component 3 associated protein
16405at7742	Complete	NC_047140.1	25320433	25328659	-	2127.9	1185	https://www.orthodb.org/v10?query=16405at7742	Mitogen-activated protein kinase kinase kinase 4
16601at7742	Complete	NC_047126.1	32861231	32867011	+	1607.8	1454	https://www.orthodb.org/v10?query=16601at7742	methylcytosine dioxygenase TET2
16779at7742	Complete	NC_047147.1	1523665	1560861	-	1943.3	1246	https://www.orthodb.org/v10?query=16779at7742	SNF2 histone linker PHD RING helicase
16923at7742	Complete	NC_047131.1	3526395	3571959	-	3003.1	1492	https://www.orthodb.org/v10?query=16923at7742	protein MON2 homolog isoform X1
17577at7742	Complete	NC_047142.1	26629148	26676268	+	2295.5	1270	https://www.orthodb.org/v10?query=17577at7742	DEP domain-containing protein 5
17657at7742	Complete	NC_047149.1	18515225	18543103	-	2193.9	1016	https://www.orthodb.org/v10?query=17657at7742	Dispatched RND transporter family member 1
17720at7742	Complete	NC_047128.1	35086902	35101190	-	2779.4	2140	https://www.orthodb.org/v10?query=17720at7742	Ankyrin repeat domain 11
17781at7742	Complete	NC_047147.1	6674620	6694029	+	2337.8	1768	https://www.orthodb.org/v10?query=17781at7742	Thyroid hormone receptor interactor 11
17789at7742	Complete	NC_047149.1	11163117	11170602	-	1116.0	1424	https://www.orthodb.org/v10?query=17789at7742	Caspase 8 associated protein 2
17848at7742	Complete	NC_047132.1	28557082	28615227	+	2152.5	1316	https://www.orthodb.org/v10?query=17848at7742	zinc finger protein castor homolog 1
17900at7742	Complete	NC_047147.1	24668880	24695918	-	2365.5	1285	https://www.orthodb.org/v10?query=17900at7742	rho GTPase-activating protein 5
18037at7742	Complete	NC_047131.1	4180640	4217511	-	1664.6	1088	https://www.orthodb.org/v10?query=18037at7742	gamma-tubulin complex component 6
18541at7742	Complete	NC_047139.1	32250388	32281575	+	2923.3	1565	https://www.orthodb.org/v10?query=18541at7742	transcription elongation factor SPT6
18946at7742	Complete	NC_047149.1	13761270	13792507	+	833.7	818	https://www.orthodb.org/v10?query=18946at7742	androglobin
19072at7742	Complete	NC_047138.1	13503608	13545522	-	1701.6	1279	https://www.orthodb.org/v10?query=19072at7742	SPHK1 interactor, AKAP domain containing
19085at7742	Missing
19307at7742	Complete	NC_047147.1	15742540	15757318	-	1224.2	989	https://www.orthodb.org/v10?query=19307at7742	Leucine rich repeat containing 9
19351at7742	Complete	NC_047142.1	24111482	24122389	-	1074.2	1196	https://www.orthodb.org/v10?query=19351at7742	xin actin-binding repeat-containing protein 1
19367at7742	Complete	NC_047134.1	15716432	15723253	-	1037.8	1065	https://www.orthodb.org/v10?query=19367at7742	A disintegrin and metalloproteinase with thrombospondin motifs 13
19730at7742	Complete	NC_047149.1	17086229	17101417	-	2393.8	1155	https://www.orthodb.org/v10?query=19730at7742	Mediator complex subunit 23
20246at7742	Complete	NC_047143.1	25288107	25316108	+	1350.6	1394	https://www.orthodb.org/v10?query=20246at7742	sperm-associated antigen 17
20356at7742	Complete	NC_047141.1	248086	287749	-	2178.1	1165	https://www.orthodb.org/v10?query=20356at7742	phosphoinositide 3-kinase regulatory subunit 4
20518at7742	Complete	NC_047147.1	20312980	20408653	-	2105.4	1094	https://www.orthodb.org/v10?query=20518at7742	intron-binding protein aquarius
20951at7742	Duplicated	NC_047141.1	26600695	26615028	-	1843.9	1205	https://www.orthodb.org/v10?query=20951at7742	Vir like m6A methyltransferase associated
20951at7742	Duplicated	NC_047141.1	26600695	26618708	-	2148.5	1418	https://www.orthodb.org/v10?query=20951at7742	Vir like m6A methyltransferase associated
21252at7742	Complete	NC_047142.1	10750721	10771466	+	1269.7	881	https://www.orthodb.org/v10?query=21252at7742	probable ATP-dependent DNA helicase HFM1
21281at7742	Complete	NC_047129.1	21352999	21372683	-	1755.3	1111	https://www.orthodb.org/v10?query=21281at7742	trafficking protein particle complex 8 
21546at7742	Complete	NC_047143.1	18517456	18546565	-	2121.9	1576	https://www.orthodb.org/v10?query=21546at7742	focadhesin
21841at7742	Complete	NC_047132.1	13698172	13751145	+	879.5	1073	https://www.orthodb.org/v10?query=21841at7742	collagen alpha-1(XX) chain
21970at7742	Complete	NC_047126.1	21277036	21312666	-	1860.9	1087	https://www.orthodb.org/v10?query=21970at7742	WD repeat domain 17
22108at7742	Complete	NC_047139.1	16982579	17002733	-	1604.2	1087	https://www.orthodb.org/v10?query=22108at7742	Gem nuclear organelle associated protein 5
22187at7742	Complete	NC_047150.1	1796379	1899556	-	2435.7	2080	https://www.orthodb.org/v10?query=22187at7742	Human immunodeficiency virus type I enhancer binding protein 1
22275at7742	Complete	NC_047139.1	1240036	1253045	+	759.9	751	https://www.orthodb.org/v10?query=22275at7742	PCF11 cleavage and polyadenylation factor subunit
22496at7742	Complete	NC_047131.1	8418775	8479032	-	1422.7	1026	https://www.orthodb.org/v10?query=22496at7742	Hepatocyte growth factor receptor
22554at7742	Complete	NC_047129.1	18556991	18635372	-	1086.2	738	https://www.orthodb.org/v10?query=22554at7742	Synapse defective Rho GTPase homolog 2
22898at7742	Complete	NC_047146.1	5012875	5022616	-	1969.3	1083	https://www.orthodb.org/v10?query=22898at7742	splicing factor 3B subunit 1 isoform X1
23173at7742	Complete	NC_047148.1	23056258	23067278	+	2054.3	1156	https://www.orthodb.org/v10?query=23173at7742	Nucleoporin 155
23457at7742	Complete	NC_047140.1	25925279	25931855	-	1427.8	1425	https://www.orthodb.org/v10?query=23457at7742	PHD finger protein 3 isoform X1
23496at7742	Complete	NC_047149.1	27479319	27533824	-	1957.4	1170	https://www.orthodb.org/v10?query=23496at7742	DNA helicase INO80
23531at7742	Complete	NC_047147.1	23502743	23529725	+	1118.3	820	https://www.orthodb.org/v10?query=23531at7742	tectonin beta-propeller repeat-containing protein 2
23568at7742	Complete	NC_047134.1	13902272	13910670	-	1873.0	1327	https://www.orthodb.org/v10?query=23568at7742	tetratricopeptide repeat protein 37
23673at7742	Complete	NC_047140.1	32571910	32589764	-	1316.0	1074	https://www.orthodb.org/v10?query=23673at7742	condensin-2 complex subunit D3
23675at7742	Complete	NC_047145.1	18403691	18451605	+	1788.7	1057	https://www.orthodb.org/v10?query=23675at7742	DNA polymerase
23692at7742	Complete	NC_047148.1	1367850	1438426	+	1459.7	1365	https://www.orthodb.org/v10?query=23692at7742	cilia- and flagella-associated protein 44
23872at7742	Complete	NC_047147.1	9841148	9849332	-	1783.0	1083	https://www.orthodb.org/v10?query=23872at7742	rab3 GTPase-activating protein non-catalytic subunit
23996at7742	Complete	NC_047146.1	5674792	5687051	-	1661.1	1402	https://www.orthodb.org/v10?query=23996at7742	A-kinase anchor protein 11
24404at7742	Complete	NC_047130.1	22145472	22200026	+	2135.5	1093	https://www.orthodb.org/v10?query=24404at7742	isoleucine--tRNA ligase, cytoplasmic
24468at7742	Complete	NC_047128.1	22000009	22130515	+	1409.3	852	https://www.orthodb.org/v10?query=24468at7742	Zinc finger protein 536
24566at7742	Complete	NC_047135.1	9848539	9875814	+	1049.7	837	https://www.orthodb.org/v10?query=24566at7742	nischarin isoform X1
24621at7742	Complete	NC_047128.1	29765333	29772870	-	2034.4	1136	https://www.orthodb.org/v10?query=24621at7742	ubiquitin carboxyl-terminal hydrolase 47 isoform X1
24868at7742	Complete	NC_047149.1	14414316	14423571	+	1802.7	1409	https://www.orthodb.org/v10?query=24868at7742	adenylate kinase 9
24985at7742	Complete	NC_047149.1	5971642	6038272	-	666.3	563	https://www.orthodb.org/v10?query=24985at7742	fibronectin type III domain-containing protein 1
25109at7742	Complete	NC_047126.1	11900133	11910141	+	1784.1	1436	https://www.orthodb.org/v10?query=25109at7742	Programmed cell death 11
25377at7742	Complete	NC_047131.1	2233960	2247554	-	968.9	1061	https://www.orthodb.org/v10?query=25377at7742	Fanconi anemia group A protein
25752at7742	Complete	NC_047131.1	25899075	25910639	-	2016.0	1010	https://www.orthodb.org/v10?query=25752at7742	splicing factor 3B subunit 3
25839at7742	Complete	NC_047140.1	24516648	24523910	+	1868.9	1041	https://www.orthodb.org/v10?query=25839at7742	DNA mismatch repair protein Msh6
26047at7742	Complete	NC_047142.1	1166770	1184852	+	1851.0	1028	https://www.orthodb.org/v10?query=26047at7742	coatomer subunit alpha
26210at7742	Complete	NC_047147.1	15373104	15383319	+	1427.3	1077	https://www.orthodb.org/v10?query=26210at7742	RNA polymerase II-associated protein 1
26485at7742	Complete	NC_047141.1	30865330	30898119	+	1313.1	977	https://www.orthodb.org/v10?query=26485at7742	Condensin complex subunit 1
26536at7742	Complete	NC_047128.1	36279727	36290319	-	1812.9	1060	https://www.orthodb.org/v10?query=26536at7742	tripeptidyl-peptidase 2
26714at7742	Complete	NC_047144.1	9811988	9831627	+	1883.6	1085	https://www.orthodb.org/v10?query=26714at7742	Methionine synthase
26808at7742	Complete	NC_047131.1	6156500	6180301	-	1886.5	1346	https://www.orthodb.org/v10?query=26808at7742	pseudopodium-enriched atypical kinase 1
26890at7742	Complete	NC_047133.1	2800597	2814010	-	1582.6	874	https://www.orthodb.org/v10?query=26890at7742	ubiquitin carboxyl-terminal hydrolase 7
26970at7742	Complete	NC_047134.1	11571256	11657730	+	834.8	831	https://www.orthodb.org/v10?query=26970at7742	uncharacterized protein KIAA0825 homolog isoform X1
27280at7742	Complete	NC_047128.1	30850551	30858240	-	1529.6	949	https://www.orthodb.org/v10?query=27280at7742	Kinesin family member 7
27308at7742	Complete	NC_047147.1	14531153	14546391	-	2389.8	1429	https://www.orthodb.org/v10?query=27308at7742	eukaryotic translation initiation factor 2-alpha kinase 4
27364at7742	Complete	NC_047146.1	20879063	20910437	+	1696.2	1012	https://www.orthodb.org/v10?query=27364at7742	trafficking protein particle complex subunit 10
27385at7742	Complete	NC_047131.1	10073870	10095122	-	1697.8	1131	https://www.orthodb.org/v10?query=27385at7742	nuclear pore complex protein Nup160
27463at7742	Complete	NC_047129.1	394619	423534	+	1121.5	977	https://www.orthodb.org/v10?query=27463at7742	sushi, nidogen and EGF-like domain-containing protein 1
27595at7742	Complete	NC_047139.1	28579934	28589203	+	1122.6	1012	https://www.orthodb.org/v10?query=27595at7742	rho GTPase-activating protein 31
27786at7742	Complete	NC_047131.1	33638709	33645846	+	844.0	778	https://www.orthodb.org/v10?query=27786at7742	zinc finger protein 592
28267at7742	Complete	NC_047131.1	24921667	24934453	+	1602.9	1057	https://www.orthodb.org/v10?query=28267at7742	enhancer of mRNA-decapping protein 4
28386at7742	Complete	NC_047140.1	25401638	25412254	-	1175.0	990	https://www.orthodb.org/v10?query=28386at7742	probable methyltransferase TARBP1
28425at7742	Complete	NC_047139.1	7409283	7444197	-	1729.1	996	https://www.orthodb.org/v10?query=28425at7742	leucine--tRNA ligase, cytoplasmic
28500at7742	Complete	NC_047133.1	2626548	2638544	+	2000.8	1037	https://www.orthodb.org/v10?query=28500at7742	protein flightless-1 homolog
28532at7742	Complete	NC_047148.1	3538156	3550997	+	1813.3	1039	https://www.orthodb.org/v10?query=28532at7742	putative ATP-dependent RNA helicase DHX57
28693at7742	Complete	NC_047141.1	18724232	18737782	-	1330.1	991	https://www.orthodb.org/v10?query=28693at7742	protein MMS22-like
28708at7742	Complete	NC_047132.1	7228484	7248909	-	1904.5	984	https://www.orthodb.org/v10?query=28708at7742	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
28859at7742	Complete	NC_047131.1	2919548	2940101	+	2004.6	972	https://www.orthodb.org/v10?query=28859at7742	DNA-directed RNA polymerase III subunit RPC2
28954at7742	Complete	NC_047148.1	9746296	9749958	-	1593.0	884	https://www.orthodb.org/v10?query=28954at7742	zinc finger BED domain-containing protein 4
29096at7742	Complete	NC_047139.1	7489059	7509413	-	1989.1	1184	https://www.orthodb.org/v10?query=29096at7742	DNA repair protein RAD50
29337at7742	Complete	NC_047143.1	23313519	23347969	-	1473.5	930	https://www.orthodb.org/v10?query=29337at7742	adhesion G protein-coupled receptor A3
29623at7742	Complete	NC_047130.1	21671656	21689014	+	1718.3	1163	https://www.orthodb.org/v10?query=29623at7742	Fanconi anemia group D2 protein
29855at7742	Complete	NC_047138.1	6754284	6772330	-	1666.9	1138	https://www.orthodb.org/v10?query=29855at7742	synergin gamma isoform X1
29952at7742	Fragmented	NC_047145.1	14939884	14958725	+	1141.7	646	https://www.orthodb.org/v10?query=29952at7742	nephrocystin-3
29959at7742	Complete	NC_047135.1	23070188	23085105	-	1087.4	893	https://www.orthodb.org/v10?query=29959at7742	pro-epidermal growth factor
30224at7742	Missing
30479at7742	Complete	NC_047144.1	10063637	10071381	-	1645.0	1241	https://www.orthodb.org/v10?query=30479at7742	mediator of RNA polymerase II transcription subunit 1
30774at7742	Complete	NC_047131.1	29902430	29916620	-	1673.3	1062	https://www.orthodb.org/v10?query=30774at7742	Fanconi anemia group I protein
30973at7742	Complete	NC_047144.1	5739294	5748463	+	1346.3	998	https://www.orthodb.org/v10?query=30973at7742	KIAA0556
31066at7742	Complete	NC_047133.1	23669628	23675468	-	1762.6	949	https://www.orthodb.org/v10?query=31066at7742	manganese-transporting ATPase 13A1
31418at7742	Complete	NC_047147.1	15447776	15453185	-	1666.5	1115	https://www.orthodb.org/v10?query=31418at7742	protein dispatched homolog 2
31574at7742	Complete	NC_047141.1	21122316	21130100	-	2025.2	1030	https://www.orthodb.org/v10?query=31574at7742	WASH complex subunit strumpellin
31951at7742	Complete	NC_047143.1	16741531	16750707	+	1623.3	1036	https://www.orthodb.org/v10?query=31951at7742	uncharacterized protein KIAA0232 homolog isoform X1
32152at7742	Complete	NC_047128.1	17668837	17758236	+	1601.5	898	https://www.orthodb.org/v10?query=32152at7742	DNA damage-binding protein 1
32286at7742	Complete	NC_047138.1	2221800	2256014	-	1782.2	1094	https://www.orthodb.org/v10?query=32286at7742	serine/threonine-protein kinase SIK3 isoform X1
32307at7742	Complete	NC_047136.1	7173509	7178007	-	846.0	1037	https://www.orthodb.org/v10?query=32307at7742	AT-hook DNA-binding motif-containing protein 1
32396at7742	Missing
32511at7742	Complete	NC_047146.1	8473882	8479930	+	1125.2	775	https://www.orthodb.org/v10?query=32511at7742	DNA repair protein REV1
32732at7742	Complete	NC_047129.1	12053832	12062408	-	1437.6	844	https://www.orthodb.org/v10?query=32732at7742	SIN3 transcription regulator family member B
